cLogP,cLogS,Smiles
3.6445,-4.671,C[C@@H](CC1)N(C(Nc(cc2)cc(OC)c2OC)=O)c(cc2)c1cc2OC
3.4293,-4.254,Cc(c(NC(OCc1ccccc1)=O)ccc1)c1F
3.1433,-4.045,CCOc1cccc(NS(c2cc(C(F)(F)F)ccc2)(=O)=O)c1
2.0112,-2.931,Cc(c(NC(OC)=O)ccc1)c1F
0.2973,-2.155,CN(C)CCCNC(C(c1c2cccc1)=NNC2=O)=O
2.1645,-2.552,Cc1cc(C)nc(C)c1NC(c(cc1)ccc1S(N(C)C)(=O)=O)=O
-0.4233,-0.929,CC(C)NC(C(N(C)C(N1C)=O)=CC1=O)=O
1.0107,-2.394,Cc(c(F)ccc1)c1NS(N(C)C)(=O)=O
0.2541,-2.849,[O-][N+](c1ccc([C@@H]([C@H](CO)NC(c2cccs2)=O)O)cc1)=O
3.7461,-3.885,Cc1cc(OCCNS(c2cc(C(F)(F)F)ccc2)(=O)=O)c(C)cc1
1.7643,-3.15,CCOc(ccc(S(NC1CCCCC1)(=O)=O)c1)c1C(N)=O
0.6373,-1.516,CCN([C@@H](CC1)CS1(=O)=O)S(c1cccs1)(=O)=O
2.4091,-3.264,CCCCc(cc1)ccc1NC(N)=O
3.7214,-5.528,CC(C)CCOc(ccc(S(Nc1cccc(Cl)c1Cl)(=O)=O)c1)c1C(N)=O
0.5232,-2.095,NC(c(cc1)ccc1[N+]([O-])=O)=S
2.2733,-3.349,O=C(c1cccs1)Nc(cc1)cc2c1nc[nH]2
2.7506,-3.683,Cc(cc1)ccc1C(Nc(cc1)cc2c1nc[nH]2)=O
4.0683,-4.716,COc(c(Cl)ccc1)c1NC(c1cccc(Br)c1)=O
3.4337,-4.572,Cc1ncc(-c(cc2)ccc2NS(c(s2)ccc2Br)(=O)=O)o1
3.0978,-4.537,CCC(Nc1cccc(-c2c(C(OC)=O)c(C)nc(C)c2C(OC)=O)c1)=O
2.9615,-4.783,Cc1c(C(OC)=O)c(-c2cc(NC(C3CC3)=O)ccc2)c(C(OC)=O)c(C)n1
2.2035,-2.956,CC(Nc(cc1)ccc1S(NCCc1cccs1)(=O)=O)=O
2.6732,-3.102,COc(ccc(C(NCCc1cccs1)=O)c1)c1OC
1.4052,-4.019,[O-][N+](c(cc1)ccc1C(NCCSCc1ccco1)=O)=O
1.467,-0.682,CON(S(c1ccccc1)(=O)=O)S(c1ccccc1)(=O)=O
2.1376,-3.275,C[C@@H](Cn1c2nnc1-c(cccc1)c1Cl)S2(=O)=O
4.612,-5.867,CC(C)Cc1ccc(C(Nc(cccc2)c2C(c2ccccc2)=O)=O)o1
3.3028,-4.294,CC(C)Cc1ccc(C(NCc(cc2)cc3c2OCO3)=O)o1
1.7137,-2.923,O=C(C1CC1)NCCOc1cccc2cccnc12
3.5834,-4.989,COc(cccc1)c1OCCNC(c(cc1)ccc1C(c1ccccc1)=O)=O
3.295,-4.544,CC(C)c1cc(S(N(CC2)c3c2cccc3)(=O)=O)c(C)cc1OCC(OC)=O
-0.2273,-2.914,CCS(N(CC(N)=O)c(cc1)ccc1OC)(=O)=O
3.6376,-3.8,CCCc(cc1)ccc1OCCNC(C1CCCCC1)=O
2.1825,-3.071,O=C(C1CCCC1)NCCOc(cc1)ccc1F
3.2356,-6.036,O=S(Cc(cccc1)c1Cl)(Nc(cccc1)c1I)=O
3.6684,-5.66,Cc(ccc(C(Nc(cc(cc1)[N+]([O-])=O)c1N1CCCCC1)=O)c1)c1Cl
3.4328,-5.054,O=C(c(cccc1)c1S(Cc1ccccc1)(=O)=O)NCCc1ccccc1
2.8207,-3.734,Cc1nc(-c(cc2)ccc2C(NCCOCC(F)(F)F)=O)cs1
3.1043,-3.871,C[C@H](CC1)CC[C@@H]1NC(COc(cc1)ccc1Cl)=O
0.8218,-4.048,O=C(c1ccco1)Nc(cc1)cc(N2)c1SCCC2=O
1.7228,-3.434,COC(CCC(Nc1cccc(S(Nc2ccccc2)(=O)=O)c1)=O)=O
2.85,-4.672,CN(c(ccc(CNC(c(cccc1)c1Br)=O)c1)c1N1C)C1=O
1.9946,-3.4,O=C1N(CCNC(NC2CCCCC2)=S)Cc2c1cccc2
4.9575,-5.051,Cc(ccc(C(Nc1cc(CCc2ccncc2)ccc1)=O)c1)c1Cl
3.0981,-4.696,COc(ccc(NC(Nc(cc1)ccc1I)=O)c1)c1OC
3.0762,-4.002,O=C(CN(Cc1ccccc1)Cc1ccccc1)N/N=C/c1ccco1
2.4752,-3.998,CC(NCCOc(cccc1)c1Oc1ccccc1)=O
1.3461,-1.339,CC(N(C)CCOc1ccccc1)=O
3.0981,-4.696,COc(ccc(NC(Nc(cccc1)c1I)=O)c1)c1OC
4.0566,-5.977,COc(ccc(NC(Nc(cc1)ccc1Oc1ccccc1)=O)c1)c1OC
3.476,-4.596,COc(ccc(NC(Nc1ccc(Cc2ccncc2)cc1)=O)c1)c1OC
4.4835,-5.441,Cc(cccc1)c1SCC(N/N=C/c(cc1)ccc1Br)=O
3.9451,-4.488,CCCCOc1ccc(/C=N/N(C(C)=Nc2c3cccc2)C3=O)cc1
4.0457,-6.024,O=C(Nc(cc1)ccc1I)Nc(cc(c(F)c1)F)c1Cl
